region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long,in_the_box,in_shapefile
India_SriLanka,1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,orissa,20.5,84.41667,FALSE,FALSE
India_SriLanka,1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,west bengal,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1943-0011-IND,1943,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1943,7,24,1943,7,24,5000,NA,NA,NA,NA,NA,NA,NA,6.7836890850433,rajputana,29.29675,74.63347,FALSE,FALSE
India_SriLanka,1943-0012-IND,1943,0012,Natural,Meteorological,Storm,NA,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1943,10,3,1943,10,3,NA,NA,30000,NA,30000,NA,NA,NA,6.7836890850433,madras,13.08784,80.27847,TRUE,TRUE
India_SriLanka,1944-0006-IND,1944,0006,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1944,6,14,1944,6,14,304,NA,NA,NA,NA,NA,NA,NA,6.9010990884382,assam,26,93,FALSE,FALSE
India_SriLanka,1945-0005-IND,1945,0005,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1945,9,18,1945,9,18,NA,NA,NA,2000,2000,NA,NA,NA,7.0576457596316,gujarat,23.02579,72.58727,FALSE,FALSE
India_SriLanka,1945-0005-IND,1945,0005,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1945,9,18,1945,9,18,NA,NA,NA,2000,2000,NA,NA,NA,7.0576457596316,punjab,31.62234,74.87534,FALSE,FALSE
India_SriLanka,1948-0008-IND,1948,0008,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,9,18,1948,9,18,500,NA,NA,NA,NA,NA,NA,NA,9.418891383464,assam,26,93,FALSE,FALSE
India_SriLanka,1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,east,30.37584,79.97077,FALSE,FALSE
India_SriLanka,1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,west godavari,17,81.16667,TRUE,FALSE
India_SriLanka,1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,masulipatnam,16.18747,81.13888,TRUE,FALSE
India_SriLanka,1950-0006-IND,1950,0006,Natural,Hydrological,Flood,Riverine flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Km2,NA,NA,1950,7,11,1950,7,11,45,NA,25000,NA,25000,NA,NA,NA,9.4319369393968,saurashtra,21.96667,70.5,FALSE,FALSE
India_SriLanka,1950-0011-IND,1950,0011,Natural,Meteorological,Storm,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1950,9,12,1950,9,12,90,NA,NA,NA,NA,NA,NA,NA,9.4319369393968,west,22.56263,88.36304,FALSE,FALSE
India_SriLanka,1952-0011-IND,1952,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1952,11,26,1952,11,26,400,NA,1000000,NA,1000000,NA,NA,NA,10.4103536343549,tanjore,10.78523,79.13909,TRUE,TRUE
India_SriLanka,1952-0011-IND,1952,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1952,11,26,1952,11,26,400,NA,1000000,NA,1000000,NA,NA,NA,10.4103536343549,tiruchi,10.8155,78.69651,TRUE,TRUE
India_SriLanka,1955-0015-IND,1955,0015,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,Flood,NA,NA,No,No,NA,NA,Kph,NA,NA,1955,9,28,1955,9,28,1500,NA,NA,375000,375000,NA,NA,NA,10.473000409773,punjab,31.62234,74.87534,FALSE,FALSE
India_SriLanka,1955-0019-IND,1955,0019,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,1955,11,28,1955,11,28,500,NA,NA,NA,NA,NA,NA,NA,10.473000409773,tanjore,10.78523,79.13909,TRUE,TRUE
