Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,location_word,uncertain_location_specificity,lat,lng
1983-0137-ESP,1983,0137,NA,Natural,Hydrological,Flood,NA,NA,NA,Spain,ESP,Southern Europe,Europe,San Juan Del Puerto,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,11,1,1983,11,1,NA,NA,1600,NA,1600,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,san juan del puerto,FALSE,37.31667,-6.84139
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,wollo,FALSE,11,39.25
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,gondar,FALSE,12.6,37.46667
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,goe,FALSE,NA,NA
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,eritrea,FALSE,14.34523,35.85047
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,tigrai,FALSE,13.5,39.5
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,shoa,FALSE,7,35.91667
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,harerge,FALSE,8.65657,40.75743
1983-9060-ETH,1983,9060,NA,Natural,Climatological,Drought,Drought,NA,NA,Ethiopia,ETH,Eastern Africa,Africa,"Wollo, Gondar, Goe, Eritrea, Tigrai, Shoa, Harerge, Sidamo",NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1983,5,NA,1984,NA,NA,300000,NA,7750000,NA,7750000,NA,NA,NA,38.9583793014576,NA,NA,NA,NA,sidamo,FALSE,6.817,37.75
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,kadavu,FALSE,-18.99331,178.22021
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,ono,FALSE,-20.65977,-178.74086
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,suva,FALSE,-18.14161,178.44149
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,viti levu,FALSE,-16.55,179.25
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,yasawa,FALSE,-16.79358,177.50689
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,naviti,FALSE,-17.1113,177.23924
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,vatulele,FALSE,-18.51148,177.63755
1983-0047-FJI,1983,0047,NA,Natural,Meteorological,Storm,Tropical cyclone,NA,Oscar,Fiji,FJI,Melanesia,Oceania,"Kadavu, Ono, Suva, Viti Levu, Yasawa, Naviti, Vatulele, Bega",NA,NA,NA,Yes,NA,NA,NA,180,Kph,NA,NA,NA,NA,1983,3,1,1983,3,1,9,14,200000,NA,200014,NA,NA,50000,38.9583793014576,NA,NA,NA,NA,bega,FALSE,-18.39712,178.12448
