region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,negros occidental  ,10.53333,122.83333
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375, vi province,13.30283,123.41195
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,,14.6042,120.9822
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375, metropolitan manila  ,14.5833,121
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,ncr ,14.6042,120.9822
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,,14.6042,120.9822
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375, rizal  ,14.62578,121.12251
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375, iv-a province,7.46361,124.25722
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,,14.6042,120.9822
Phil,2002-0499-PHL,2002,0499,Natural,Hydrological,Flood,Coastal flood,NA,NA,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,Tropical cyclone,NA,NA,NA,NA,NA,NA,11680,Km2,NA,NA,NA,NA,2002,8,13,2002,8,17,26,59,3500,NA,3559,NA,NA,NA,70.3578189693375,,14.6042,120.9822
