Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,region,location_word,lat,long
1935-0014-IND,1935,0014,Natural,Meteorological,Storm,NA,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1935,11,13,1935,11,13,100,NA,NA,NA,NA,NA,NA,NA,5.3747690443035,India_SriLanka,negapatam,10.76377,79.84313
1936-0009-IND,1936,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1936,10,28,1936,10,28,233,NA,NA,NA,NA,NA,NA,NA,5.4399968239674,India_SriLanka,guntur,16.29974,80.45729
1936-0009-IND,1936,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1936,10,28,1936,10,28,233,NA,NA,NA,NA,NA,NA,NA,5.4399968239674,India_SriLanka,madras,13.08784,80.27847
1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,India_SriLanka,orissa,20.5,84.41667
1942-0009-IND,1942,0009,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1942,10,14,1942,10,14,40000,NA,NA,NA,NA,NA,NA,NA,6.4053679629928,India_SriLanka,west bengal,22.56263,88.36304
1943-0011-IND,1943,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1943,7,24,1943,7,24,5000,NA,NA,NA,NA,NA,NA,NA,6.7836890850433,India_SriLanka,rajputana,29.29675,74.63347
1943-0012-IND,1943,0012,Natural,Meteorological,Storm,NA,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1943,10,3,1943,10,3,NA,NA,30000,NA,30000,NA,NA,NA,6.7836890850433,India_SriLanka,madras,13.08784,80.27847
1944-0006-IND,1944,0006,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1944,6,14,1944,6,14,304,NA,NA,NA,NA,NA,NA,NA,6.9010990884382,India_SriLanka,assam,26,93
1945-0005-IND,1945,0005,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1945,9,18,1945,9,18,NA,NA,NA,2000,2000,NA,NA,NA,7.0576457596316,India_SriLanka,gujarat,23.02579,72.58727
1945-0005-IND,1945,0005,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,OFDA,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1945,9,18,1945,9,18,NA,NA,NA,2000,2000,NA,NA,NA,7.0576457596316,India_SriLanka,punjab,31.62234,74.87534
1948-0008-IND,1948,0008,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,9,18,1948,9,18,500,NA,NA,NA,NA,NA,NA,NA,9.418891383464,India_SriLanka,assam,26,93
1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,India_SriLanka,east,30.37584,79.97077
1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,India_SriLanka,west godavari,17,81.16667
1949-0013-IND,1949,0013,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,27,1949,10,27,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,India_SriLanka,masulipatnam,16.18747,81.13888
1950-0008-IND,1950,0008,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,NA,NA,NA,NA,9,Richter,28.5,96.5,19:39,NA,1950,8,15,1950,8,15,1500,NA,NA,NA,NA,NA,NA,20000,9.4319369393968,India_SriLanka,assam,26,93
