region,Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,location_word,lat,long
Phil,1949-0014-PHL,1949,0014,Natural,Meteorological,Storm,Tropical cyclone,NA,Rena,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,31,1949,10,31,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345,cebu ,10.31672,123.89071
Phil,1949-0014-PHL,1949,0014,Natural,Meteorological,Storm,Tropical cyclone,NA,Rena,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,31,1949,10,31,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345, negros,9.82646,122.90234
Phil,1949-0014-PHL,1949,0014,Natural,Meteorological,Storm,Tropical cyclone,NA,Rena,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1949,10,31,1949,10,31,1000,NA,NA,NA,NA,NA,NA,NA,9.3275724919345, panay,11.17227,122.47408
Phil,1951-0011-PHL,1951,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,Iris,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1951,4,24,1951,4,24,156,NA,NA,NA,NA,NA,NA,NA,10.1755336275649,samar,11.93353,125.03403
Phil,1951-0011-PHL,1951,0011,Natural,Meteorological,Storm,Tropical cyclone,NA,Iris,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1951,4,24,1951,4,24,156,NA,NA,NA,NA,NA,NA,NA,10.1755336275649, south luzon,16,121
Phil,1951-0021-PHL,1951,0021,Natural,Meteorological,Storm,Tropical cyclone,NA,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1951,11,15,1951,11,15,87,NA,NA,NA,NA,NA,NA,NA,10.1755336275649,visayas,10.31672,123.89071
Phil,1951-0021-PHL,1951,0021,Natural,Meteorological,Storm,Tropical cyclone,NA,Wanda,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1951,11,15,1951,11,15,87,NA,NA,NA,NA,NA,NA,NA,10.1755336275649, bicol,13.31389,123.56389
Phil,1951-0024-PHL,1951,0024,Natural,Meteorological,Storm,Tropical cyclone,NA,Amy,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1951,12,9,1951,12,9,569,NA,60000,NA,60000,NA,NA,NA,10.1755336275649,central,7.07306,125.61278
Phil,1952-0003-PHL,1952,0003,Natural,Meteorological,Storm,Tropical cyclone,NA,Emma,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1952,6,28,1952,6,28,19,103,NA,NA,103,NA,NA,NA,10.4103536343549,central,7.07306,125.61278
Phil,1952-0008-PHL,1952,0008,Natural,Meteorological,Storm,Tropical cyclone,NA,"Trixy, Wilma",Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1952,10,16,1952,10,16,995,349,NA,NA,349,NA,NA,50000,10.4103536343549,central,7.07306,125.61278
Phil,1960-0012-PHL,1960,0012,Natural,Meteorological,Storm,Tropical cyclone,NA,Karen,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,4,22,1960,4,22,56,NA,NA,NA,NA,NA,NA,2000,11.5682160783056,south wet ,14.40575,120.97865
Phil,1960-0012-PHL,1960,0012,Natural,Meteorological,Storm,Tropical cyclone,NA,Karen,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,4,22,1960,4,22,56,NA,NA,NA,NA,NA,NA,2000,11.5682160783056, manilla,14.6042,120.9822
Phil,1960-0019-PHL,1960,0019,Natural,Meteorological,Storm,Tropical cyclone,NA,Lucille,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,5,24,1960,5,24,234,NA,NA,NA,NA,NA,NA,NA,11.5682160783056,luzon,16,121
Phil,1960-0020-PHL,1960,0020,Natural,Meteorological,Storm,Tropical cyclone,NA,Olive,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,6,23,1960,6,23,100,NA,50000,NA,50000,NA,NA,NA,11.5682160783056,south luzon,16,121
Phil,1960-0028-PHL,1960,0028,Natural,Meteorological,Storm,Tropical cyclone,NA,Kit,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,10,3,1960,10,3,150,NA,375000,NA,375000,NA,NA,NA,11.5682160783056,central,7.07306,125.61278
Phil,1960-0028-PHL,1960,0028,Natural,Meteorological,Storm,Tropical cyclone,NA,Kit,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,10,3,1960,10,3,150,NA,375000,NA,375000,NA,NA,NA,11.5682160783056, south luzon,16,121
Phil,1960-0029-PHL,1960,0029,Natural,Meteorological,Storm,Tropical cyclone,NA,Lola,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1960,10,8,1960,10,8,58,NA,NA,NA,NA,NA,NA,30000,11.5682160783056,luzon,16,121
